rank,address,label,is_recipient,is_voter,recipient_voter_overlap,total_compensation_gonka,voting_power,vote_option,cluster_id,cluster_kind,evidence_boundary,proof_count,high_confidence_claim_count,triage_score,next_actions,top_evidence
1,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,Votkon · http://89.169.97.113:8000,True,True,True,73073.708453,92840,yes,label:Votkon · http://89.169.97.113:8000,label,shared_public_label_only,0,5,46.531,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,"compensation_output:73073.708453 GONKA:high | matched_validator_moniker:gonkavaloper1q5xt54wncgzk7dxv9x64uln68455g83wq96ml9:high | matched_validator_moniker:gonkavaloper1q5xt54wncgzk7dxv9x64uln68455g83wq96ml9:high | proposal_vote:yes:high | telegram_operator_statement:Успевайте заделегировать Кими до след эпохи чтобы не потерять 15% ! Если ищите кому делегировать, то можно вот сюда:./inferenced tx inference set-poc-delegation moonshotai/Kimi-K2.6 gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg \ --from <your-account-key> \ --node http://node2.gonka.ai:8000/chain-rpc/ \ --chain-id gonka-mainnet \ --keyring-backend file \ --gas auto \ --gas-adjustment 1.3 \ -yЭто топ 1 сегмент по весу...:high"
2,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,"ancapex | Mine from $1, no losses from node failures",True,True,True,66487.744752,28865,no_with_veto,"label:ancapex | Mine from $1, no losses from node failures",label,public_owner_proof,5,8,43.746,review conflict narrative,"matched_validator_identity:B22258DF68546529:high | matched_validator_identity:B22258DF68546529:high | matched_validator_moniker:ancapex | Mine from $1, no losses from node failures:high | matched_validator_moniker:ancapex | Mine from $1, no losses from node failures:high | validator_key_match:1MsHbnXp09bUZK/WEJVpwTOiZgKN+P5R7zuXXQUnYDM=:high"
3,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,http://54.38.118.143:8000,True,True,True,52290.195676,86433,yes,label:http://54.38.118.143:8000,label,shared_public_label_only,0,4,40.42,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:52290.195676 GONKA:high | matched_validator_moniker:gonkavaloper1gvrrhjmy4w4mayvs2s5l23edj8ertcmt32aj4w:high | matched_validator_moniker:gonkavaloper1gvrrhjmy4w4mayvs2s5l23edj8ertcmt32aj4w:high | proposal_vote:yes:high | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=8512:medium
4,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,http://135.181.56.61:8000,True,False,False,158541.879456,0,did_not_vote,label:http://135.181.56.61:8000,label,shared_public_label_only,0,3,39.635,enrich beneficiary identity,compensation_output:158541.879456 GONKA:high | matched_validator_moniker:gonkavaloper1qa90tgczc0k5dvk4l5nvlf5y6phgm6mgk2pw9p:high | matched_validator_moniker:gonkavaloper1qa90tgczc0k5dvk4l5nvlf5y6phgm6mgk2pw9p:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=55552:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=56352:medium
5,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,http://178.105.174.27:8000,True,True,True,11262.520198,57838,yes,label:http://178.105.174.27:8000,label,shared_public_label_only,0,2,26.078,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:11262.520198 GONKA:high | proposal_vote:yes:high | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=14528:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=7296:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=14880:medium
6,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,http://54.37.131.156:8000,True,False,False,101147.807219,0,did_not_vote,label:http://54.37.131.156:8000,label,shared_public_label_only,0,1,25.287,enrich beneficiary identity,compensation_output:101147.807219 GONKA:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=56288:medium | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=144224:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=59296:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=153408:medium
7,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,http://65.21.232.177:8000,True,False,False,96601.320933,0,did_not_vote,label:http://65.21.232.177:8000,label,shared_public_label_only,0,3,24.15,enrich beneficiary identity,compensation_output:96601.320933 GONKA:high | matched_validator_moniker:gonkavaloper1uhqpup9fev3zahlx6n326lp0krznc6uswthag3:high | matched_validator_moniker:gonkavaloper1uhqpup9fev3zahlx6n326lp0krznc6uswthag3:high | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=68352:medium | epoch_commit_participant:e271 moonshotai/Kimi-K2.6 count=59712:medium
8,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,http://network000.kaitaku.ai:8000,True,True,True,11021.18308,25278,no_with_veto,label:http://network000.kaitaku.ai:8000,label,shared_public_label_only,0,4,21.366,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:11021.18308 GONKA:high | matched_validator_moniker:gonkavaloper168rtjfkszuhcggg4dfyse4yh7xn9zwfgrn8588:high | matched_validator_moniker:gonkavaloper168rtjfkszuhcggg4dfyse4yh7xn9zwfgrn8588:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=10528:medium
9,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,http://148.113.47.235:8000,True,True,True,1805.142498,31217,yes,label:http://148.113.47.235:8000,label,shared_public_label_only,0,4,19.911,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:1805.142498 GONKA:high | matched_validator_moniker:gonkavaloper1tja3g2da45efhe2p83gk3whtussmgmts3lex5x:high | matched_validator_moniker:gonkavaloper1tja3g2da45efhe2p83gk3whtussmgmts3lex5x:high | proposal_vote:yes:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=60352:medium
10,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,http://57.128.30.101:8000,True,False,False,79247.555227,0,did_not_vote,label:http://57.128.30.101:8000,label,shared_public_label_only,0,1,19.812,enrich beneficiary identity,compensation_output:79247.555227 GONKA:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4544:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4480:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=85632:medium | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4096:medium
