rank,cluster_id,kind,label,addresses,roles,recipient_count,voter_count,recipient_voter_count,total_compensation_gonka,total_voting_power,vote_power_by_option,vote_address_counts,evidence_boundary,interest_score,top_evidence,caveats
1,label:http://89.169.97.113:8000,label,http://89.169.97.113:8000,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,epoch_commit_participant operator recipient voter,1,1,1,73073.708453,92840,yes:92840.0,yes:1,shared_public_label_only,46.531,"compensation_output:73073.708453 GONKA:high | matched_validator_moniker:gonkavaloper1q5xt54wncgzk7dxv9x64uln68455g83wq96ml9:high | matched_validator_moniker:gonkavaloper1q5xt54wncgzk7dxv9x64uln68455g83wq96ml9:high | proposal_vote:yes:high | telegram_operator_statement:Успевайте заделегировать Кими до след эпохи чтобы не потерять 15% ! Если ищите кому делегировать, то можно вот сюда:./inferenced tx inference set-poc-delegation moonshotai/Kimi-K2.6 gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg \ --from <your-account-key> \ --node http://node2.gonka.ai:8000/chain-rpc/ \ --chain-id gonka-mainnet \ --keyring-backend file \ --gas auto \ --gas-adjustment 1.3 \ -yЭто топ 1 сегмент по весу...:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=80416:medium","No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
2,label:http://54.38.118.143:8000,label,http://54.38.118.143:8000,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,epoch_commit_participant recipient voter,1,1,1,52290.195676,86433,yes:86433.0,yes:1,shared_public_label_only,40.42,compensation_output:52290.195676 GONKA:high | matched_validator_moniker:gonkavaloper1gvrrhjmy4w4mayvs2s5l23edj8ertcmt32aj4w:high | matched_validator_moniker:gonkavaloper1gvrrhjmy4w4mayvs2s5l23edj8ertcmt32aj4w:high | proposal_vote:yes:high | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=8512:medium | epoch_commit_participant:e269 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=8640:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
3,label:http://135.181.56.61:8000,label,http://135.181.56.61:8000,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,epoch_commit_participant recipient,1,0,0,158541.879456,0,,,shared_public_label_only,39.635,compensation_output:158541.879456 GONKA:high | matched_validator_moniker:gonkavaloper1qa90tgczc0k5dvk4l5nvlf5y6phgm6mgk2pw9p:high | matched_validator_moniker:gonkavaloper1qa90tgczc0k5dvk4l5nvlf5y6phgm6mgk2pw9p:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=55552:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=56352:medium | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=60320:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
4,"label:ancapex | Mine from $1, no losses from node failures",label,"ancapex | Mine from $1, no losses from node failures",gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,epoch_commit_participant recipient voter,1,1,1,66487.744752,28865,no_with_veto:28865.0,no_with_veto:1,public_owner_proof,35.746,"matched_validator_identity:B22258DF68546529:high | matched_validator_identity:B22258DF68546529:high | matched_validator_moniker:ancapex | Mine from $1, no losses from node failures:high | matched_validator_moniker:ancapex | Mine from $1, no losses from node failures:high | validator_key_match:1MsHbnXp09bUZK/WEJVpwTOiZgKN+P5R7zuXXQUnYDM=:high | compensation_output:66487.744752 GONKA:high",At least one address both received compensation and voted.
5,label:http://178.105.174.27:8000,label,http://178.105.174.27:8000,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,epoch_commit_participant recipient voter,1,1,1,11262.520198,57838,yes:57838.0,yes:1,shared_public_label_only,26.078,compensation_output:11262.520198 GONKA:high | proposal_vote:yes:high | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=14528:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=7296:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=14880:medium | epoch_commit_participant:e271 moonshotai/Kimi-K2.6 count=22336:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
6,label:http://54.37.131.156:8000,label,http://54.37.131.156:8000,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,epoch_commit_participant recipient,1,0,0,101147.807219,0,,,shared_public_label_only,25.287,compensation_output:101147.807219 GONKA:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=56288:medium | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=144224:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=59296:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=153408:medium | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=59264:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
7,label:http://65.21.232.177:8000,label,http://65.21.232.177:8000,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,epoch_commit_participant recipient,1,0,0,96601.320933,0,,,shared_public_label_only,24.15,compensation_output:96601.320933 GONKA:high | matched_validator_moniker:gonkavaloper1uhqpup9fev3zahlx6n326lp0krznc6uswthag3:high | matched_validator_moniker:gonkavaloper1uhqpup9fev3zahlx6n326lp0krznc6uswthag3:high | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=68352:medium | epoch_commit_participant:e271 moonshotai/Kimi-K2.6 count=59712:medium | epoch_commit_participant:e272 moonshotai/Kimi-K2.6 count=59808:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
8,label:http://network000.kaitaku.ai:8000,label,http://network000.kaitaku.ai:8000,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,epoch_commit_participant recipient voter,1,1,1,11021.18308,25278,no_with_veto:25278.0,no_with_veto:1,shared_public_label_only,21.366,compensation_output:11021.18308 GONKA:high | matched_validator_moniker:gonkavaloper168rtjfkszuhcggg4dfyse4yh7xn9zwfgrn8588:high | matched_validator_moniker:gonkavaloper168rtjfkszuhcggg4dfyse4yh7xn9zwfgrn8588:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=10528:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1408:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
9,label:http://148.113.47.235:8000,label,http://148.113.47.235:8000,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,delegator epoch_commit_participant recipient voter,1,1,1,1805.142498,31217,yes:31217.0,yes:1,shared_public_label_only,19.911,compensation_output:1805.142498 GONKA:high | matched_validator_moniker:gonkavaloper1tja3g2da45efhe2p83gk3whtussmgmts3lex5x:high | matched_validator_moniker:gonkavaloper1tja3g2da45efhe2p83gk3whtussmgmts3lex5x:high | proposal_vote:yes:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=60352:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=63392:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
10,label:http://57.128.30.101:8000,label,http://57.128.30.101:8000,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,epoch_commit_participant recipient,1,0,0,79247.555227,0,,,shared_public_label_only,19.812,compensation_output:79247.555227 GONKA:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4544:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4480:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=85632:medium | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4096:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=98656:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
